"_G3","_G2","_G1","_SID","_SREF","_GEO","State","County","Payam","School","Type","P1F","P1M","P2F","P2M","P3F","P3M","P4F","P4M","P5F","P5M","P6F","P6M","P7F","P7M","P8F","P8M","PFO","PMO","PTF","PTM","TOTP","S1F","S1M","S2F","S2M","S3F","S3M","S4F","S4M","SFO","SMO","STF","STM","TOTS","OTHRF","OTHRM","TOTO","AES_TF","AES_TM","TOT_AES","ALP_TF","ALP_TM","TOT_ALP","ECD_TF","ECD_TM","TOT_ECD","NUR_TF","NUR_TM","TOT_NUR","PRE_TF","PRE_TM","TOT_PRE","TTI_TF","TTI_TM","TOT_TTI","TVET_TF","TVET_TM","TOT_TVET","UNI_TF","UNI_TM","TOT_UNI","TOTAL"
"Southern Liech","Leer County","Guat`","5064","GTD","28","LIS","Leer County","Guat`","Guat Primary School [GTD]","Primary","62","68","18","34","19","33","13","13","10","16","12","14","0","0","0","0","0","0","134","178","312","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","312"
"Southern Liech","Leer County","Guat`","5066","LLU","28","LIS","Leer County","Guat`","Lual Primary School [LLU]","Primary","99","135","31","21","11","15","27","25","12","40","17","17","0","0","0","0","0","0","197","253","450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","450"
"Southern Liech","Leer County","Guat`","5065","PDN","28","LIS","Leer County","Guat`","Pading Primary School [PDN]","Primary","64","66","18","34","24","28","10","16","22","30","0","0","0","0","0","0","0","0","138","174","312","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","312"
"Southern Liech","Leer County","Juongkang","10323","DTP","28","LIS","Leer County","Juongkang","Dhor Tuol Primary School [DTP]","Primary","29","49","12","14","7","19","13","20","13","13","10","13","0","0","0","0","0","0","84","128","212","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","212"
"Southern Liech","Leer County","Juongkang","10307","DHI","28","LIS","Leer County","Juongkang","Dhornyal Primary School [DHI]","Primary","68","62","40","38","55","70","49","55","57","31","44","34","0","0","0","0","0","0","313","290","603","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","603"
"Southern Liech","Leer County","Juongkang","10362","JNF","28","LIS","Leer County","Juongkang","Juong Primary School [JNF]","Primary","27","21","34","18","33","19","27","18","17","9","14","6","0","0","0","0","0","0","152","91","243","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","243"
"Southern Liech","Leer County","Juongkang","10472","WKL","28","LIS","Leer County","Juongkang","Thonyor Primary School [WKL]","Primary","19","33","9","17","10","16","9","17","12","14","22","30","29","49","0","0","0","0","110","176","286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","286"
"Southern Liech","Leer County","Juongkang","10480","YNC","28","LIS","Leer County","Juongkang","Yang Primary School [YNC]","Primary","93","115","76","132","23","29","20","32","20","32","10","16","0","0","0","0","0","0","242","356","598","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","598"
"Southern Liech","Leer County","Padeah","10298","BUI","28","LIS","Leer County","Padeah","Buom Diew Primary School [BUI]","Primary","34","44","15","11","11","15","14","12","15","13","11","15","20","32","12","14","0","0","132","156","288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","288"
"Southern Liech","Leer County","Padeah","10305","DGJ","28","LIS","Leer County","Padeah","Dungjiak Primary School [DGJ]","Primary","24","28","21","31","25","27","29","20","24","22","14","12","0","0","0","0","0","0","137","140","277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","277"
"Southern Liech","Leer County","Padeah","10383","KHZ","28","LIS","Leer County","Padeah","Kathiep Primary School [KHZ]","Primary","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Southern Liech","Leer County","Padeah","10390","LES","28","LIS","Leer County","Padeah","Leer Emma Secondary School [LES]","Secondary","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","39","19","33","17","35","0","0","0","0","51","107","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","158"
"Southern Liech","Leer County","Padeah","10391","LRF","28","LIS","Leer County","Padeah","Leer Primary School [LRF]","Primary","27","25","33","71","20","29","22","30","33","19","26","26","34","41","22","28","0","0","217","269","486","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","486"
