Admin1,Admin1_Pcode,Admin2,Admin2_Alternate_Name,Admin2_Pcode,Population - 2025," % Male children
 under 5 "," No. of Male
children under 5 "," % Female
children under 5 "," No. of Female
children under 5 "," % Male children 
aged 5 - 17 years "," No. of Male children 
aged 5 - 17 years "," % Female children 
aged 5 - 17 years "," No. of Female 
children aged 5 - 17 years "," % Male adults 
aged 18 - 60 "," No. of  Male 
adults aged 18 - 60 "," % Female adults 
aged 18 - 60 "," No. of Female 
adults aged 18 - 60 "," % Male adults 
aged over 60 "," No. of Male adults 
aged over 60 "," % Female adults 
aged over 60 "," No. Female adults 
aged over 60 "
Unity,SS06,Mayom,,SS0606," 170,251 ",12%," 19,749 ",9%," 15,816 ",17%," 28,262 ",20%," 33,540 ",14%," 23,154 ",14%," 23,171 ",7%," 12,650 ",8%," 13,910 "
Unity,SS06,Panyijiar,,SS0607," 126,239 ",8%," 9,619 ",10%," 12,536 ",18%," 23,253 ",22%," 28,151 ",21%," 26,384 ",17%," 21,713 ",3%," 3,857 ",1%, 726 
Unity,SS06,Pariang,,SS0608," 143,832 ",12%," 17,691 ",10%," 13,851 ",17%," 24,451 ",17%," 24,020 ",18%," 25,171 ",19%," 27,616 ",3%," 4,257 ",5%," 6,774 "
Unity,SS06,Rubkona,,SS0609," 361,802 ",10%," 36,904 ",10%," 35,891 ",16%," 58,250 ",17%," 60,493 ",19%," 69,828 ",19%," 67,295 ",4%," 13,785 ",5%," 19,356 "
Upper Nile,SS07,Baliet,,SS0701," 76,145 ",8%," 5,825 ",6%," 4,378 ",25%," 19,112 ",23%," 17,209 ",15%," 11,574 ",14%," 10,280 ",6%," 4,272 ",5%," 3,495 "
Upper Nile,SS07,Fashoda,,SS0702," 83,775 ",10%," 8,629 ",9%," 7,205 ",19%," 16,085 ",16%," 13,739 ",12%," 10,388 ",17%," 14,577 ",5%," 4,189 ",11%," 8,964 "
Upper Nile,SS07,Longochuk,,SS0703," 80,526 ",12%," 9,502 ",8%," 6,780 ",17%," 14,052 ",18%," 14,173 ",18%," 14,414 ",21%," 16,830 ",2%," 1,772 ",4%," 3,004 "
Upper Nile,SS07,Luakpiny/Nasir,,SS0704," 350,742 ",11%," 39,634 ",12%," 41,388 ",17%," 58,048 ",18%," 64,186 ",16%," 56,820 ",19%," 66,641 ",3%," 10,592 ",4%," 13,433 "
Upper Nile,SS07,Maban,,SS0705," 84,550 ",8%," 6,798 ",8%," 7,178 ",20%," 17,248 ",21%," 17,544 ",19%," 15,980 ",17%," 14,458 ",3%," 2,241 ",4%," 3,103 "
Upper Nile,SS07,Maiwut,,SS0706," 147,823 ",14%," 20,695 ",10%," 14,501 ",18%," 26,327 ",13%," 19,069 ",18%," 27,052 ",19%," 28,382 ",3%," 4,642 ",5%," 7,155 "
Upper Nile,SS07,Malakal,,SS0707," 204,041 ",4%," 8,529 ",3%," 6,325 ",9%," 18,731 ",7%," 13,752 ",30%," 61,212 ",26%," 52,030 ",16%," 33,055 ",5%," 10,406 "
Upper Nile,SS07,Manyo,,SS0708," 83,853 ",10%," 8,637 ",10%," 8,075 ",11%," 8,805 ",11%," 9,308 ",27%," 22,515 ",25%," 20,628 ",4%," 2,968 ",3%," 2,918 "
Upper Nile,SS07,Melut,,SS0709," 134,054 ",10%," 13,808 ",10%," 13,942 ",22%," 29,760 ",19%," 25,296 ",17%," 22,253 ",18%," 23,459 ",1%," 1,528 ",3%," 4,008 "
Upper Nile,SS07,Panyikang,,SS0710," 69,656 ",3%," 2,320 ",3%," 2,111 ",11%," 7,474 ",7%," 4,604 ",29%," 20,479 ",20%," 13,583 ",15%," 10,239 ",13%," 8,846 "
Upper Nile,SS07,Renk,,SS0711," 210,351 ",10%," 20,215 ",8%," 16,954 ",23%," 47,750 ",18%," 37,863 ",17%," 36,138 ",17%," 36,601 ",4%," 7,362 ",4%," 7,467 "
Upper Nile,SS07,Ulang,,SS0712," 167,265 ",8%," 13,164 ",6%," 10,789 ",17%," 28,937 ",20%," 32,951 ",19%," 32,433 ",21%," 34,791 ",3%," 5,620 ",5%," 8,581 "
Warrap,SS08,Gogrial East,,SS0801," 138,793 ",9%," 12,686 ",9%," 12,630 ",19%," 26,926 ",18%," 25,316 ",19%," 26,509 ",17%," 23,317 ",4%," 4,955 ",5%," 6,454 "
