Name,Type,State,County,Latitude,Longitude
Pajarial Primary School,PRI,Unity,Panyinjiar,7.376033,30.453617
Jalle II Primary School,PRI,Jonglei,Bor,6.37355,31.593416
Jebel Kheir Basic,PRI,Western Bahr el Ghazal,Wau,7.68285,27.983168
Jaba Primary School,PRI,Central Equatoria,Morobo,3.661333,30.726732
Jubani Primary,PRI,Western Equatoria,Mundri East,5.364667,30.864733
Juba One Boys Primary School,PRI,Central Equatoria,Juba,4.98589713,31.67994678
Jiech Primary School,PRI,Jonglei,Ayod,8.370967,31.135099
Jiech Primary School,PRI,Unity,Panyinjiar,7.409883,30.395416
Jockrial Primary School,PRI,Jonglei,Uror (Wunror),8.024033333,32.009578
Juba Commercial Secondary School,SEC,Central Equatoria,Juba,4.98589713,31.67994678
Rumjok Primary School,PRI,Northern Bahr el Ghazal,Aweil East,9.040316667,27.6637245
JCC Model Primary School,PRI,Central Equatoria,Juba,4.98589713,31.67994678
Jabir Dida Primary School,PRI,Upper Nile,Maban,9.931767,33.693184
Juba Day Secondary School,SEC,Central Equatoria,Juba,4.98589713,31.67994678
Ajem-Yar Primary School,PRI,Warrap,Tonj South,7.36305,28.07645
Ajiengo Primary School,PRI,Jonglei,Pochalla,7.095366667,34.168116
Ajiep Primary School,PRI,Northern Bahr el Ghazal,Aweil East,9.363738833,27.65452483
Ajeriak Primary School,PRI,Northern Bahr el Ghazal,Aweil East,8.006413727,28.66000464
Juba One Girl Primary School,PRI,Central Equatoria,Juba,4.98589713,31.67994678
Jigomoni Primary School,PRI,Central Equatoria,Yei River,4.090833,30.679083
Juba Girls Secondary School,SEC,Central Equatoria,Juba,4.98589713,31.67994678
Jaah Primary School,PRI,Unity,Koch,8.674767,29.964649
John Paul Secondary School - Wau,SEC,Western Bahr el Ghazal,Wau,7.950166207,28.06916507
Jalle Hill Primary School,PRE,Central Equatoria,Kajo-Keji,3.769622167,31.6643375
John Paul Ll Basic,PRI,Western Bahr el Ghazal,Wau,7.70135,27.999517
Jaborana IDP primary school,PRI,Central Equatoria,Juba,4.8330266,31.6651966
Marol Ajiing Primary School,PRI,Warrap,Gogrial West,8.58682925,28.12137525
Ajiing Primary School,PRI,Warrap,Gogrial West,8.757594333,28.065572
Ojipako Primary School,PRI,Central Equatoria,Morobo,3.627617,30.829268
Martyrs Memorial Primary School,PRI,Central Equatoria,Juba,4.853290368,31.55675447
Ajak Primary,PRI,Warrap,Twic,9.281,28.73905
