"name,C,80",school_type,"building,C,80","operator_t,C,80","capacity_p,C,80","addr_full,C,80","addr_city,C,80","source,C,80","osm_id,N,18,0","osm_type,C,80"
Pentagon College,College,,Private,,,,,12158075334,nodes
Peremasu School,Other or Unknown,,Religious,,,,,12158075335,nodes
Pibor Primary School,Primary School,,Public,,,,,12158075336,nodes
Potika Nursery School,Nursery School,,Public,,,,,12158075337,nodes
Primary School Leer,Primary School,,Religious,,,,,12158075338,nodes
Riangmal Primary School,Primary School,,Public,,,,,12158075339,nodes
Riangmal Primary School,Primary School,,Public,,,,,12158075340,nodes
Roa Primary School,Primary School,,Public,,,,,12158075341,nodes
Romogi Seed Secondary School,Secondary School,,Religious,,,,,12158075342,nodes
Rubeke P School,Primary School,,Public,,,,,12158075343,nodes
Rubeke P School,Primary School,,Public,,,,,12158075344,nodes
Rubeke Primary School Otogo Pam,Primary School,,Religious,,,,,12158075345,nodes
Rubeke S S,Other or Unknown,,Private,,,,,12158075346,nodes
Rumaker P School,Primary School,,Private,,,,,12158075347,nodes
Saint Andrew College,College,,Public,,,,,12158075348,nodes
Saint Kizito Primary School,Primary School,,Public,,,,,12158075349,nodes
Sasanya Nursery School,Nursery School,,Community,,,,,12158075350,nodes
Seventh Advertise Nursery School,Nursery School,,Private,,,,,12158075351,nodes
Seventh Days Advertise Primary School,Primary School,,Public,,,,,12158075352,nodes
St Augustine Nursery School Mijale,Nursery School,,Private,,,,,12158075353,nodes
St Joseph Lutaya Secondary School,Secondary School,,Private,,,,,12158075354,nodes
St Kizito Primary School,Primary School,,Public,,,,,12158075355,nodes
St Mary'S College,College,,Private,,,,,12158075356,nodes
St Paul Secondary School,Secondary School,,Private,,,,,12158075357,nodes
St. John Bugo Nursery And Primary School,"Nursery School, Primary School",,Community,,,,,12158075358,nodes
St. Joseph Basic School,Other or Unknown,,Public,,,,,12158075359,nodes
St.Mark Nursery School Kololo,Nursery School,,Public,,,,,12158075360,nodes
Stordy Nursery & Primary School,"Nursery School, Primary School",,Public,,,,,12158075361,nodes
Swinga Primary School,Primary School,,Public,,,,,12158075362,nodes
Take Care Nursery School,Nursery School,,Public,,,,,12158075363,nodes
Tendele Community School,Other or Unknown,,Private,,,,,12158075364,nodes
Tororo Primary School,Primary School,,Public,,,,,12158075365,nodes
True Light Nursery And Primary School,"Nursery School, Primary School",,Public,,,,,12158075366,nodes
Ubbi Primary School,Primary School,,Religious,,,,,12158075367,nodes
University Of Juba. College Of Comunity Studies And Rural Development,College,,,,,,,8974878509,nodes
Upper Primary School,Primary School,,Religious,,,,,8963517703,nodes
Uyon Primary Sch,Primary School,,,,,,,12161426940,nodes
Wardoper Family Care Nursery School,Nursery School,,,,,,,12161426942,nodes
Yei Day Secondary School,Secondary School,,,,,,,9126530417,nodes
Yei Teacher Training Collage,Other or Unknown,,Public,,,Kakanya,www.ubos.org,3981350259,nodes
,Other or Unknown,,Public,,,Kagoropa,www.ubos.org,3981350258,nodes
,Other or Unknown,,,,,,,11812286831,nodes
,Other or Unknown,,,,,,,10570410597,nodes
,Other or Unknown,,Religious,,,,,10135377796,nodes
,Other or Unknown,,,,,,,7018726687,nodes
,Other or Unknown,,,,,,,1390944591,nodes
