Admin1,Admin2,Admin2_Pcode,Age_Group,Population_Count
Upper Nile,Baliet,SS0701,Female_Under_5,4378.335442694125
Upper Nile,Fashoda,SS0702,Female_Under_5,7204.65819770071
Upper Nile,Longochuk,SS0703,Female_Under_5,6780.326643126428
Upper Nile,Luakpiny/Nasir,SS0704,Female_Under_5,41387.526778232736
Upper Nile,Maban,SS0705,Female_Under_5,7178.316034824
Upper Nile,Maiwut,SS0706,Female_Under_5,14501.393228141367
Upper Nile,Malakal,SS0707,Female_Under_5,6325.273773322399
Upper Nile,Manyo,SS0708,Female_Under_5,8075.068930559285
Upper Nile,Melut,SS0709,Female_Under_5,13941.640660624598
Upper Nile,Panyikang,SS0710,Female_Under_5,2110.562187004024
Upper Nile,Renk,SS0711,Female_Under_5,16954.27986387705
Upper Nile,Ulang,SS0712,Female_Under_5,10788.58952561461
Warrap,Gogrial East,SS0801,Female_Under_5,12630.121223689675
Warrap,Gogrial West,SS0802,Female_Under_5,23312.85379133991
Warrap,Tonj East,SS0803,Female_Under_5,15238.535019885723
Warrap,Tonj North,SS0804,Female_Under_5,22777.796113984798
Warrap,Tonj South,SS0805,Female_Under_5,10418.820916137724
Warrap,Twic,SS0806,Female_Under_5,17354.65686963513
Western Bahr el Ghazal,Jur River,SS0901,Female_Under_5,32028.606850374887
Western Bahr el Ghazal,Raja,SS0902,Female_Under_5,6099.970821416791
Western Bahr el Ghazal,Wau,SS0903,Female_Under_5,42897.53970972583
Western Equatoria,Ezo,SS1001,Female_Under_5,11865.396019616455
Western Equatoria,Ibba,SS1002,Female_Under_5,4523.894968223958
Western Equatoria,Maridi,SS1003,Female_Under_5,9587.312567722798
Western Equatoria,Mundri East,SS1004,Female_Under_5,9419.452663652432
Western Equatoria,Mundri West,SS1005,Female_Under_5,4668.309631853168
Western Equatoria,Mvolo,SS1006,Female_Under_5,6208.844985188628
Western Equatoria,Nagero,SS1007,Female_Under_5,3576.6941
Western Equatoria,Nzara,SS1008,Female_Under_5,9759.762516460902
Western Equatoria,Tambura,SS1009,Female_Under_5,12905.857337492864
Western Equatoria,Yambio,SS1010,Female_Under_5,17745.12809449986
,,,Female_Under_5,1187529.032739594
Abyei Administrative Area,Abyei Administrative Area,SS0001,Male_5_17,25728.366
Central Equatoria,Juba,SS0101,Male_5_17,87908.45715821336
Central Equatoria,Kajo-keji,SS0102,Male_5_17,14834.38468231323
Central Equatoria,Lainya,SS0103,Male_5_17,13107.06118502648
Central Equatoria,Morobo,SS0104,Male_5_17,24332.00009532766
Central Equatoria,Terekeka,SS0105,Male_5_17,48271.407171055056
Central Equatoria,Yei,SS0106,Male_5_17,47829.85216158973
Eastern Equatoria,Budi,SS0201,Male_5_17,20501.54750762815
Eastern Equatoria,Ikotos,SS0202,Male_5_17,17561.367828485447
Eastern Equatoria,Kapoeta East,SS0203,Male_5_17,30043.357452881923
Eastern Equatoria,Kapoeta North,SS0204,Male_5_17,34377.534689075954
Eastern Equatoria,Kapoeta South,SS0205,Male_5_17,23085.88315894808
Eastern Equatoria,Lafon,SS0206,Male_5_17,23909.987505904443
Eastern Equatoria,Magwi,SS0207,Male_5_17,51419.57655119163
Eastern Equatoria,Torit,SS0208,Male_5_17,9679.02388839074
Jonglei,Akobo,SS0301,Male_5_17,42133.38461976158
Jonglei,Ayod,SS0302,Male_5_17,34559.13483544872
Jonglei,Bor South,SS0303,Male_5_17,58882.04815981207
Jonglei,Canal/Pigi,SS0304,Male_5_17,15737.45251455604
Jonglei,Duk,SS0305,Male_5_17,36351.9978538323
Jonglei,Fangak,SS0306,Male_5_17,44949.14088704305
Jonglei,Nyirol,SS0307,Male_5_17,33418.28165767654
Jonglei,Pibor,SS0308,Male_5_17,32795.57475396092
Jonglei,Pochalla,SS0309,Male_5_17,16100.693469339314
Jonglei,Twic East,SS0310,Male_5_17,19732.9534465591
Jonglei,Uror,SS0311,Male_5_17,29605.600491020105
Lakes,Awerial,SS0401,Male_5_17,32738.6444228741
Lakes,Cueibet,SS0402,Male_5_17,42569.72905146493
Lakes,Rumbek Centre,SS0403,Male_5_17,49171.85967005866
Lakes,Rumbek East,SS0404,Male_5_17,33099.42088536435
