Admin1,Admin1_Pcode,Admin2,Admin2_Alternate_Name,Admin2_Pcode,Population - 2025,"% Male children
 under 5","No. of Male
children under 5","% Female
children under 5","No. of Female
children under 5","% Male children 
aged 5 - 17 years","No. of Male children 
aged 5 - 17 years","% Female children 
aged 5 - 17 years","No. of Female 
children aged 5 - 17 years","% Male adults 
aged 18 - 60","No. of  Male 
adults aged 18 - 60","% Female adults 
aged 18 - 60","No. of Female 
adults aged 18 - 60","% Male adults 
aged over 60","No. of Male adults 
aged over 60","% Female adults 
aged over 60","No. Female adults 
aged over 60"
Lakes,SS04,Wulu,,SS0406,92246.65604849727,0.0805,7425.855811904031,0.0706,6512.613917023907,0.21700000000000003,20017.52436252391,0.184,16973.384712923496,0.198,18264.83789760246,0.188,17342.37133711749,0.028199999999999996,2601.3557005676225,0.0337,3108.7123088343583
Lakes,SS04,Yirol East,,SS0407,165810.49363138128,0.108,17907.533312189178,0.096,15917.807388612604,0.159,26363.868487389624,0.171,28353.5944109662,0.203,33659.5302071704,0.196,32498.856751750733,0.025600000000000005,4244.748636963362,0.0414,6864.554436339185
Lakes,SS04,Yirol West,,SS0408,181324.9418411846,0.0892,16174.184812233667,0.078,14143.345463612399,0.167,30281.26528747783,0.205,37171.61307744284,0.21000000000000002,38078.237786648766,0.172,31187.88999668375,0.030799999999999994,5584.808208708485,0.048,8703.597208376861
Northern Bahr el Ghazal,SS05,Aweil Centre,,SS0501,78958.42399909467,0.177,13975.641047839756,0.139,10975.22093587416,0.1407,11109.450256672619,0.133,10501.470391879591,0.149,11764.805175865105,0.169,13343.973655847,0.037099999999999994,2929.3575303664115,0.0552,4358.505004750025
Northern Bahr el Ghazal,SS05,Aweil East,,SS0502,395769.2028790267,0.0854,33798.68992586888,0.0934,36964.843548901095,0.2028,80261.99434386662,0.213,84298.84021323269,0.15600000000000003,61739.99564912818,0.18,71238.4565182248,0.027000000000000003,10685.768477733722,0.0424,16780.614202070734
Northern Bahr el Ghazal,SS05,Aweil North,,SS0503,185929.4750951999,0.0796,14799.986217577913,0.0678,12606.018411454552,0.2022,37594.93986424941,0.236,43879.35612246717,0.15400000000000003,28633.139164660788,0.188,34954.74131789758,0.0367,6823.611735993836,0.0357,6637.682260898637
Northern Bahr el Ghazal,SS05,Aweil South,,SS0504,151603.99788066585,0.11,16676.43976687324,0.0866,13128.906216465663,0.1585,24029.233664085536,0.189,28653.155599445847,0.19399999999999998,29411.17558884917,0.23,34868.91951255315,0.0157,2380.182766726454,0.0162,2455.9847656667866
Northern Bahr el Ghazal,SS05,Aweil West,,SS0505,223172.85012132523,0.102,22763.630712375172,0.116,25888.050614073727,0.191,42626.01437317312,0.193,43072.36007341577,0.174,38832.07592111059,0.18,40171.11302183854,0.0218,4865.16813264489,0.0222,4954.437272693421
Unity,SS06,Abiemnhom,,SS0601,60349.39265536997,0.0993,5992.694690678238,0.0852,5141.768254237521,0.1832,11056.00873446378,0.16,9655.902824859195,0.19899999999999998,12009.529138418624,0.233,14061.408488701203,0.0182,1098.3589463277335,0.0221,1333.7215776836765
Unity,SS06,Guit,,SS0602,73878.46680688998,0.117,8643.780616406128,0.1009,7454.337300815199,0.1861,13748.782672762223,0.188,13889.151759695316,0.13899999999999998,10269.106886157706,0.165,12189.947023136847,0.046099999999999995,3405.7973197976276,0.0579,4277.56322811893
Unity,SS06,Koch,,SS0603,115157.92194971234,0.087,10018.739209624973,0.0716,8245.307211599404,0.1714,19738.067822180696,0.202,23261.900233841894,0.16400000000000003,18885.89919975283,0.178,20498.110107048797,0.0325,3742.6324633656513,0.0935,10767.265702298104
Unity,SS06,Leer,,SS0604,86784.04656841136,0.0915,7940.740261009639,0.084,7289.859911746555,0.16699999999999998,14492.935776924694,0.182,15794.696475450866,0.19699999999999998,17096.457173977036,0.226,19613.194524460967,0.0124,1076.1221774483008,0.0401,3480.0402673932954
Unity,SS06,Mayendit,,SS0605,74335.3299255596,0.0956,7106.457540883499,0.0794,5902.225196089433,0.2018,15000.869578977929,0.176,13083.01806689849,0.177,13157.35339682405,0.177,13157.35339682405,0.032200000000000006,2393.5976236030197,0.061,4534.455125459136
Unity,SS06,Mayom,,SS0606,170251.42680984718,0.116,19749.165509942275,0.0929,15816.357550634802,0.16599999999999998,28261.73685043463,0.197,33539.5310815399,0.136,23154.19404613922,0.1361,23171.2191888202,0.0743,12649.681011971647,0.0817,13909.541570364514
Unity,SS06,Panyijiar,,SS0607,126238.9889546662,0.0762,9619.410958345565,0.0993,12535.531603198353,0.1842,23253.221765449514,0.223,28151.294536890564,0.20900000000000002,26383.94869152524,0.172,21713.106100202585,0.03055,3856.6011125650525,0.00575,725.8741864893307
Unity,SS06,Pariang,,SS0608,143831.91286329075,0.123,17691.325282184764,0.0963,13851.0132087349,0.17,24451.42518675943,0.167,24019.929448169558,0.175,25170.58475107588,0.192,27615.727269751824,0.0296,4257.424620753406,0.0471,6774.483095860995
Unity,SS06,Rubkona,,SS0609,361801.88119399897,0.102,36903.79188178789,0.0992,35890.746614444695,0.161,58250.10287223384,0.1672,60493.27453563662,0.193,69827.7630704418,0.186,67295.14990208381,0.0381,13784.651673491362,0.0535,19356.400643878944
Upper Nile,SS07,Baliet,,SS0701,76144.96422076739,0.0765,5825.089762888705,0.0575,4378.335442694125,0.251,19112.386019412614,0.226,17208.76191389343,0.15199999999999997,11574.03456155664,0.135,10279.5701698036,0.05609999999999999,4271.7324927850495,0.0459,3495.0538577332236
Upper Nile,SS07,Fashoda,,SS0702,83775.09532210129,0.103,8628.834818176432,0.086,7204.65819770071,0.19199999999999998,16084.818301843445,0.164,13739.115632824612,0.124,10388.11181994056,0.174,14576.866586045624,0.05,4188.754766105065,0.107,8963.935199464839
Upper Nile,SS07,Longochuk,,SS0703,80526.44469271293,0.118,9502.120473740126,0.0842,6780.326643126428,0.1745,14051.864598878406,0.176,14172.654265917476,0.17900000000000002,14414.233599995616,0.209,16830.026940777003,0.022,1771.5817832396845,0.0373,3003.6363870381924
Upper Nile,SS07,Luakpiny/Nasir,,SS0704,350741.75235790457,0.113,39633.81801644322,0.118,41387.526778232736,0.1655,58047.76001523321,0.183,64185.740681496536,0.16199999999999998,56820.16388198053,0.19,66640.93294800186,0.030200000000000005,10592.40092120872,0.0383,13433.409115307744
Upper Nile,SS07,Maban,,SS0705,84550.24776,0.0804,6797.8399199039995,0.0849,7178.316034824,0.204,17248.250543039998,0.2075,17544.176410199998,0.18899999999999997,15979.996826639997,0.171,14458.092366960002,0.026500000000000003,2240.58156564,0.0367,3102.994092792
Upper Nile,SS07,Maiwut,,SS0706,147822.5609392596,0.14,20695.158531496345,0.0981,14501.393228141367,0.1781,26327.198103282135,0.129,19069.110361164487,0.183,27051.528651884506,0.192,28381.931700337842,0.0314,4641.628413492751,0.0484,7154.611949460164
Upper Nile,SS07,Malakal,,SS0707,204041.08946201287,0.0418,8528.917539512136,0.031,6325.2737733223985,0.0918,18730.972012612783,0.0674,13752.369429739667,0.30000000000000004,61212.32683860387,0.255,52030.47781281328,0.162,33054.65649284609,0.051,10406.095562562656
Upper Nile,SS07,Manyo,,SS0708,83853.25992273401,0.103,8636.885772041602,0.0963,8075.068930559285,0.105,8804.592291887071,0.111,9307.711851423475,0.2685,22514.600289254082,0.246,20627.901940992568,0.0354,2968.405401264784,0.0348,2918.0934453111436
Upper Nile,SS07,Melut,,SS0709,134054.23712139038,0.103,13807.58642350321,0.104,13941.640660624598,0.22199999999999998,29760.04064094866,0.1887,25296.034544806367,0.16600000000000004,22253.00336215081,0.175,23459.491496243314,0.011400000000000004,1528.2183031838508,0.0299,4008.221689929572
Upper Nile,SS07,Panyikang,,SS0710,69655.51772290508,0.0333,2319.528740172739,0.0303,2110.5621870040236,0.1073,7474.037051667715,0.0661,4604.2297214840255,0.294,20478.72221053409,0.195,13582.82595596649,0.14700000000000002,10239.361105267048,0.127,8846.250750808944
Upper Nile,SS07,Renk,,SS0711,210350.866797482,0.0961,20214.718299238022,0.0806,16954.27986387705,0.22699999999999998,47749.64676302841,0.18,37863.15602354676,0.1718,36138.27891580741,0.174,36601.05082276187,0.034999999999999996,7362.2803379118695,0.0355,7467.4557713106105
Upper Nile,SS07,Ulang,,SS0712,167264.95388549785,0.0787,13163.751870788681,0.0645,10788.58952561461,0.173,28936.837022191125,0.197,32951.19591544308,0.1939,32432.67455839803,0.208,34791.11040818355,0.033600000000000005,5620.102450552728,0.0513,8580.69213432604
