school_name,name_capital letter,"name_en,C,80",school_type1,school_type2,school_type3,school_type4,school_type5,"building,C,80","operator_t,C,80",operator_type,"capacity_p,C,80","addr_full,C,80","addr_city,C,80","source,C,80","osm_id,N,18,0","osm_type,C,80"
Moyo Girls' Primary School,Moyo Girls' Primary School,,0,Primary School,0,0,0,,,0,,,Letimekor,HOT-Uganda;UBOS,3961447382,nodes
Moyo Technical Institute,Moyo Technical Institute,,0,0,0,0,Other or Unknown,,,0,,,Giwaya,HOT-Uganda;UBOS,3961447383,nodes
Moyo Town Council Primary School,Moyo Town Council Primary School,,0,Primary School,0,0,0,,,0,,,Baranakuto,HOT-Uganda;UBOS,3980676948,nodes
Mugumbe Primary School,Mugumbe Primary School,,0,Primary School,0,0,0,,public,Public,,,Aligo,HOT-Uganda;www.ubos.org,4009757187,nodes
Mundri 2 primary and Hai Malakal primary school,Mundri 2 Primary And Hai Malakal Primary School,,0,Primary School,0,0,0,,,0,,,Osubira,HOT-Uganda;UBOS,4009758609,nodes
Mundri Adventist primary school,Mundri Adventist Primary School,,0,Primary School,0,0,0,,,0,,,,HOT-Uganda,5564478711,nodes
Mundri advertise secondary school,Mundri Advertise Secondary School,,0,0,0,Secondary School,0,,,0,,,,HOT-Uganda,5588667298,nodes
Mundri one primary school,Mundri One Primary School,,0,Primary School,0,0,0,,,0,,,,HOT-Uganda,5556928505,nodes
Mundri one teachers training center,Mundri One Teachers Training Center,,0,0,0,0,Other or Unknown,,,0,,,Mijale,HOT-Uganda,3980676945,nodes
"Mundri secondary school, Motherland secondary and Kotobi secondary school","Mundri Secondary School, Motherland Secondary And Kotobi Secondary School",,0,0,0,Secondary School,0,,,0,,,,HOT-Uganda,5564478710,nodes
Mundri Teachers Union secondary school,Mundri Teachers Union Secondary School,,0,0,0,Secondary School,0,,public,Public,,,,,12158075311,nodes
Mundri youth center,Mundri Youth Center,,0,0,0,0,Other or Unknown,,public,Public,,,,,12158075312,nodes
Nanga nursery school,Nanga Nursery School,,Nursery School,0,0,0,0,,public,Public,,,,,12158075313,nodes
Nasir Primary and Secondary School,Nasir Primary And Secondary School,,0,Primary School,0,Secondary School,0,,public,Public,,,,,12158075314,nodes
New Generation Academy,New Generation Academy,,0,0,0,0,Other or Unknown,,public,Public,,,,,12158075315,nodes
